G000695235	G000719825
G000695235	G001484705
G000204605	G000719825
G000092245	G002163065
G000716715	G007130245
G000934745	G011049455
G000687395	G902498835
G000026405	G002386555
G001184205	G002011835
G000717475	G011049455
G000759715	G003246255
G000341345	G002339505
G001437855	G009691185
G001438395	G009691185
G000020565	G001897825
G000350145	G013002175
G000317435	G012034595
G001437905	G009691185
G000717475	G002299865
G000348785	G013002175
G001437755	G009691185
G000296465	G900545845
G001437425	G900460455
G000429045	G007693435
G001439225	G009691185
G000626675	G002482225
G000876225	G007130245
G001429255	G001898175
G000469445	G900544615
G000015265	G002384855
G000011365	G003963195
G001027285	G003612255
G001426485	G002476985
G000497425	G000719825
G000747315	G002339505
G000938975	G000719825
G001027285	G006519765
G000718095	G000719825
G000218545	G001898175
G000285595	G002342085
G000376645	G900638075
G000312105	G002476985
G000384335	G003987855
G000721275	G000719825
G000300995	G003526905
G000212695	G001898175
G000708885	G001898175
G000739455	G002339505
G000092865	G001898175
G000300115	G003556955
G001040865	G001898175
G000009705	G003556955
G000378905	G009691185
G000725485	G001570385
G000312005	G001898175
G000736415	G001486905
G001402795	G003249015
G000012965	G002422695
G000720455	G000719825
G000800395	G003516665
G000294575	G009691185
G001235865	G001626545
G000332215	G003249015
G000372085	G002339505
G000010605	G000719825
G000381265	G002281795
G000827005	G000719825
G000336555	G003963195
G000335815	G002434125
G000314675	G003963195
G000425065	G001896795
G000092385	G000719825
G000739995	G001724135
G000158915	G000719825
G000576425	G003241005
G000718255	G001896795
G000786195	G003450595
G000468475	G001896795
G000466985	G002362815
G001482365	G003450595
G000632805	G001898415
G001294685	G002388375
G000159635	G002339505
G001417755	G001570385
G001183545	G003524365
G000145255	G002405315
G000317535	G003556955
G001051995	G007713545
G000520555	G004001285
G000022305	G001724135
G000701445	G002362815
G001428895	G001475495
G001425835	G003963195
G000802255	G000818655
G000310185	G007713545
G000316645	G007692755
G000383815	G009691185
G000300005	G003526905
G000331735	G003612255
G000577555	G002339505
G000263355	G003524365
G000720305	G000719825
G000018665	G002281795
G000282995	G001724135
G000378865	G009691185
G001411495	G000818655
G000938975	G001484705
G000756665	G002337725
G000012745	G012274165
G000429605	G002396545
G000219585	G008015635
G001295845	G004799405
G000147815	G001484705
G000020725	G003499925
G000349845	G003476965
G000317025	G012032735
G000204645	G001724135
G000689415	G003476965
G001267535	G003507845
G000317025	G012034135
G000144605	G002362815
G000519045	G002396545
G000092385	G001484705
G000973085	G900542205
G000336255	G003507845
G001418465	G000719825
G000158915	G001484705
G001188915	G000390045
G000684975	G000818655
G000213805	G003476965
G000719955	G000719825
G000964095	G002381195
G000785435	G000818655
G001279695	G000719825
G000253295	G003987855
G000721075	G001570385
G000317535	G007692755
G000482805	G002384255
G001424025	G002362815
G001422605	G900538725
G000012685	G003612255
G000717345	G001484705
G000718635	G001484705
G000959245	G000818655
G000420065	G008661855
G001450355	G003476965
G000715975	G001570385
G000285555	G002342085
G000717345	G000719825
G000960765	G003132105
G000741165	G008673975
G000739795	G000818655
G000300995	G002337725
G000020025	G007692755
G000615525	G003476965
G000161775	G003516265
G000227685	G007116035
G000020645	G005862225
G000013365	G004799405
G000720305	G001484705
G000455385	G003476965
G000497425	G001484705
G000219105	G003612255
G000773975	G003507845
G000314575	G003522405
G000196815	G900696505
G000961805	G003132105
G000246925	G900538605
G000717745	G001484705
G000024865	G001570385
G000717025	G001484705
G000321415	G007116035
G000176855	G002281795
G000344805	G004799405
G000806415	G003476965
G000255295	G006519765
G001425945	G002362815
G001419745	G000719825
G000830005	G000719825
G000412695	G003476965
G001279695	G001484705
G000196615	G003507845
G001298675	G002281795
G000518285	G003013295
G001427825	G002362815
G000964095	G900322255
G000011545	G000818655
G000158935	G000719825
G001049335	G002869945
G000056065	G001311765
G000023405	G003241005
G000488255	G900322255
G000233655	G003241005
G000612485	G001525555
G000153465	G011055635
G001447335	G001634345
G000619805	G002878035
G000019945	G000878385
G000813765	G002362815
G000147715	G003525965
G000719335	G000719825
G000407545	G000438515
G000718095	G001484705
G000021545	G002878035
G000264315	G902168095
G001310255	G002362815
G000016565	G003476965
G000341145	G000340945
G000821105	G011742915
G000735605	G003248805
G000429085	G001484705
G000364625	G003476965
G000225825	G003241005
G001424265	G002281795
G000759475	G900538725
G000719335	G001484705
G000022305	G002281795
G000935205	G004799405
G000238395	G002297745
G001021935	G002991565
G000720455	G001484705
G000938285	G004799405
G001431645	G002991565
G000820125	G001634345
G000204645	G002281795
G000697965	G000421085
G000814675	G002297745
G000802245	G000719825
G000011465	G902521125
G001278075	G001484705
G000472425	G004799405
G000284375	G004799405
G000981765	G003370465
G000519065	G003241225
G000784965	G900538725
G001465295	G002297745
G000620485	G001898415
G000423385	G002314325
G000815185	G002991565
G000011365	G004799405
G001429505	G003248805
G000526595	G004769145
G001182895	G902168095
G000253235	G001484705
G000013745	G004799405
G000719955	G001484705
G000241265	G002435425
G000745265	G002434125
G001417815	G008673975
G000739995	G002281795
G001042635	G008673975
G000827005	G001484705
G000721275	G001484705
G000599985	G001690305
G000830005	G001484705
G001402795	G003249035
G000017265	G004297125
G000178875	G003241225
G000332215	G003249035
G000735105	G009360455
G000735135	G009360455
G000264335	G001898415
G000718475	G001570385
G001426225	G003248805
G001235865	G003447855
G000331735	G006519765
G001418465	G001484705
G000702305	G003241485
G000741785	G008673975
G000015005	G001475495
G000015565	G002281795
G000718595	G001484705
G000224515	G003132105
G000286415	G001525555
G000381345	G002384255
G000294515	G000340945
G001412595	G002434125
G001310795	G002281795
G000253235	G000719825
G001189965	G009914615
G000720475	G001484705
G000725165	G001723875
G000023065	G008015085
G000741175	G008673975
G001182895	G001898415
G000425625	G003476965
G000495505	G001486905
G000023225	G003542385
G000332135	G001672095
G001267925	G009914615
G000369105	G002381195
G000230695	G902168095
G000953825	G003524365
G000716675	G001484705
G001278075	G000719825
G001424165	G002434125
G000771745	G002378905
G000312345	G002339505
G001418335	G000719825
G001021495	G000735795
G000599985	G001723875
G001419745	G001484705
G000938305	G004799405
G000021805	G003448685
G001422605	G003507845
G001078275	G001525555
G000511135	G001570385
G000213935	G002482225
G000331005	G000719825
G000716675	G000719825
G000508625	G008661855
G000369145	G002381195
G000741715	G008673975
G000226215	G002415925
G000407245	G000438515
G000612825	G001475495
G000091565	G003507845
G000475415	G011742915
G000832145	G001508125
G001314305	G002991565
G000720475	G000719825
G000716805	G001484705
G000745175	G002384255
G000590475	G003476965
G000091305	G000719825
G000203835	G000719825
G000368625	G900322255
G001418415	G000719825
G000340435	G000735795
G000321025	G900538605
G001431505	G002991565
G001429395	G003248805
G001440405	G004799405
G000436075	G900555755
G000465555	G900538725
G000157895	G000735795
G000180175	G900538725
G000067205	G001525555
G000164865	G001807845
G001419695	G000719825
G000283495	G002319965
G001418655	G001484705
G000236865	G002431805
G000331005	G001484705
G001418335	G001484705
G000750655	G001508125
G001298265	G003248805
G000747625	G003165815
G000183565	G900538655
G000007605	G900118655
G001420315	G003248805
G000264315	G001898415
G000017705	G003123995
G000009945	G900118655
G001298575	G001484705
G000388115	G001634345
G000018945	G001508125
G000648515	G900323745
G000226215	G003497475
G000711245	G002706265
G000195995	G900636085
G000246925	G900538655
G000800935	G003248805
G000341085	G000340945
G000317595	G000719825
G000341125	G000340945
G001457475	G001525555
G000802245	G001484705
G000317595	G001484705
G000745475	G003248805
G000454045	G004211705
G000648515	G900636085
G000376565	G001484705
G000261485	G000421085
G000367205	G001812935
G000017425	G001584035
G000423905	G002378905
G001298575	G000719825
G000372885	G003248915
G000763385	G003241845
G000471025	G902498835
G000725495	G001484705
G000187005	G002378905
G000741695	G008673975
G001418475	G001484705
G001021715	G003533385
G000283575	G900550275
G000311825	G900538605
G000378025	G003241485
G000698595	G000818655
G001005085	G001484705
G000309385	G003241845
G000020945	G012842545
G000219605	G003476965
G000661955	G002991565
G000156435	G000719825
G001279585	G000340945
G000716805	G000719825
G001013905	G000719825
G000725795	G001484705
G000824785	G004962545
G000349585	G003497475
G000306885	G902642035
G000187465	G004331935
G000725795	G000719825
G000092925	G003241485
G000480315	G012839885
G000497445	G001484705
G001418585	G001484705
G000418365	G002482225
G000163595	G001914155
G000309885	G002378905
G000204605	G001484705
G000725495	G000719825
G000018545	G000421085
G000312025	G900538655
G001418655	G000719825
G000204195	G002281795
G001279985	G001484705
G000349325	G001484705
G000721105	G001484705
G000069965	G002184635
G000744885	G002378905
G000185905	G004018905
G000756775	G003476965
G000745065	G002378905
G000218565	G003963195
G000444875	G001484705
G001302585	G000720375
G001431535	G002991565
G000824825	G004962545
G000376565	G000719825
G000716215	G001484705
G001005085	G000719825
G000312565	G000296235
G000497445	G000719825
G000158955	G000719825
G000278215	G000296235
G001279985	G000719825
G001418475	G000719825
G000382345	G002434125
G000349585	G002415925
G001189535	G002479615
G000701345	G004799405
G000203835	G001484705
G000158935	G001484705
G000027145	G008269695
G001189535	G002330965
G000215745	G001807845
G000196435	G000296235
G000689355	G000296235
G000349325	G000719825
G000721235	G001484705
G000949635	G011525665
G000278155	G000296235
G000158955	G001484705
G000278135	G000296235
G000317655	G002813895
G001314905	G007693465
G000215955	G002729955
G001066585	G001807845
G000312025	G900538605
G000240185	G001807845
G000706625	G000296235
G000819865	G001634345
G000505545	G002342085
