G000695235	G000719825	63.2283
G000695235	G001484705	69.0674
G000204605	G000719825	69.0873
G000092245	G002163065	72.6921
G000716715	G007130245	73.1936
G000934745	G011049455	73.226
G000687395	G902498835	74.1509
G000026405	G002386555	74.3195
G001184205	G002011835	74.3838
G000717475	G011049455	74.4736
G000759715	G003246255	74.508
G000341345	G002339505	74.5296
G001437855	G009691185	74.6704
G001438395	G009691185	74.7086
G000020565	G001897825	74.7153
G000350145	G013002175	74.7233
G000317435	G012034595	74.8225
G001437905	G009691185	74.8307
G000717475	G002299865	74.8632
G000348785	G013002175	75.0013
G001437755	G009691185	75.044
G000296465	G900545845	75.0593
G001437425	G900460455	75.0747
G000429045	G007693435	75.0863
G001439225	G009691185	75.1322
G000626675	G002482225	75.2082
G000876225	G007130245	75.2434
G001429255	G001898175	75.2647
G000469445	G900544615	75.2802
G000015265	G002384855	75.3155
G000011365	G003963195	75.3197
G001027285	G003612255	75.5055
G001426485	G002476985	75.5955
G000497425	G000719825	75.6011
G000747315	G002339505	75.6115
G000938975	G000719825	75.6549
G001027285	G006519765	75.7063
G000718095	G000719825	75.713
G000218545	G001898175	75.7394
G000285595	G002342085	75.8225
G000376645	G900638075	75.837
G000312105	G002476985	75.8625
G000384335	G003987855	75.9097
G000721275	G000719825	75.9437
G000300995	G003526905	75.9547
G000212695	G001898175	75.9968
G000708885	G001898175	75.9987
G000739455	G002339505	76.0036
G000092865	G001898175	76.0099
G000300115	G003556955	76.0202
G001040865	G001898175	76.0432
G000009705	G003556955	76.1138
G000378905	G009691185	76.1582
G000725485	G001570385	76.1982
G000312005	G001898175	76.2464
G000736415	G001486905	76.2605
G001402795	G003249015	76.2857
G000012965	G002422695	76.2863
G000720455	G000719825	76.3144
G000800395	G003516665	76.4074
G000294575	G009691185	76.4413
G001235865	G001626545	76.4431
G000332215	G003249015	76.4652
G000372085	G002339505	76.4718
G000010605	G000719825	76.4723
G000381265	G002281795	76.5122
G000827005	G000719825	76.5438
G000336555	G003963195	76.5445
G000335815	G002434125	76.5531
G000314675	G003963195	76.555
G000425065	G001896795	76.5897
G000092385	G000719825	76.6169
G000739995	G001724135	76.6171
G000158915	G000719825	76.6374
G000576425	G003241005	76.663
G000718255	G001896795	76.6821
G000786195	G003450595	76.7186
G000468475	G001896795	76.7608
G000466985	G002362815	76.7773
G001482365	G003450595	76.7897
G000632805	G001898415	76.8233
G001294685	G002388375	76.8644
G000159635	G002339505	76.9259
G001417755	G001570385	76.9905
G001183545	G003524365	76.9993
G000145255	G002405315	77.0006
G000317535	G003556955	77.0396
G001051995	G007713545	77.0443
G000520555	G004001285	77.0554
G000022305	G001724135	77.0555
G000701445	G002362815	77.062
G001428895	G001475495	77.0803
G001425835	G003963195	77.0821
G000802255	G000818655	77.1424
G000310185	G007713545	77.15
G000316645	G007692755	77.1505
G000383815	G009691185	77.2561
G000300005	G003526905	77.2674
G000331735	G003612255	77.283
G000577555	G002339505	77.2908
G000263355	G003524365	77.2975
G000720305	G000719825	77.3012
G000018665	G002281795	77.3089
G000282995	G001724135	77.3139
G000378865	G009691185	77.3214
G001411495	G000818655	77.407
G000938975	G001484705	77.4267
G000756665	G002337725	77.4278
G000012745	G012274165	77.4445
G000429605	G002396545	77.449
G000219585	G008015635	77.4798
G001295845	G004799405	77.4855
