Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Animal proximal gut (saline),Water (saline),59,1000,13.50522048952376,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Fungus corpus (non-saline),32,1000,21.45675064726975,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Plant corpus (non-saline),48,1000,6.016688526724909,0.007992007992007992,0.010933066933066933
Animal secretion (saline),Plant surface (non-saline),35,1000,33.485445780258424,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Plant surface (saline),43,1000,54.61026497616889,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Sediment (non-saline),65,1000,227.6063557930689,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Sediment (saline),84,1000,120.1495971746464,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Soil (non-saline),182,1000,551.5904246179628,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Soil (saline),42,1000,256.6993265745349,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Subsurface (non-saline),26,1000,11.9049816327538,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Surface (saline),24,1000,13.767445865452352,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Water (non-saline),29,1000,21.783072073520753,0.000999000999000999,0.0016115959512185928
Animal secretion (saline),Water (saline),58,1000,47.482845935204615,0.000999000999000999,0.0016115959512185928
Fungus corpus (non-saline),Plant corpus (non-saline),40,1000,1.1766048683433576,0.3046953046953047,0.31199339582573116
Fungus corpus (non-saline),Plant surface (non-saline),27,1000,4.099211810110216,0.027972027972027972,0.033216783216783216
Fungus corpus (non-saline),Plant surface (saline),35,1000,8.107513897100084,0.001998001998001998,0.0029201567663106123
Fungus corpus (non-saline),Sediment (non-saline),57,1000,42.57850435861454,0.000999000999000999,0.0016115959512185928
Fungus corpus (non-saline),Sediment (saline),76,1000,23.840222730789762,0.000999000999000999,0.0016115959512185928
Fungus corpus (non-saline),Soil (non-saline),174,1000,134.08505980390703,0.000999000999000999,0.0016115959512185928
Fungus corpus (non-saline),Soil (saline),34,1000,63.99324544152077,0.000999000999000999,0.0016115959512185928
Fungus corpus (non-saline),Subsurface (non-saline),18,1000,2.970250077487994,0.007992007992007992,0.010933066933066933
Fungus corpus (non-saline),Surface (saline),16,1000,1.2718106391736552,0.26973026973026976,0.2795386431750068
Fungus corpus (non-saline),Water (non-saline),21,1000,3.049567757047682,0.04195804195804196,0.04815318909278641
Fungus corpus (non-saline),Water (saline),50,1000,8.69369336009786,0.000999000999000999,0.0016115959512185928
Plant corpus (non-saline),Plant surface (non-saline),43,1000,5.503544539203091,0.006993006993006993,0.009721985331741428
Plant corpus (non-saline),Plant surface (saline),51,1000,6.631240206763107,0.000999000999000999,0.0016115959512185928
Plant corpus (non-saline),Sediment (non-saline),73,1000,48.183612339621526,0.000999000999000999,0.0016115959512185928
Plant corpus (non-saline),Sediment (saline),92,1000,42.716862617094876,0.000999000999000999,0.0016115959512185928
Plant corpus (non-saline),Soil (non-saline),190,1000,206.12761598501191,0.000999000999000999,0.0016115959512185928
Plant corpus (non-saline),Soil (saline),50,1000,49.35496055397722,0.000999000999000999,0.0016115959512185928
Plant corpus (non-saline),Subsurface (non-saline),34,1000,1.9722938384603221,0.11188811188811189,0.12033249769098826
Plant corpus (non-saline),Surface (saline),32,1000,1.285268164943109,0.25274725274725274,0.26353524524256233
Plant corpus (non-saline),Water (non-saline),37,1000,3.555939007431971,0.03496503496503497,0.041234627441523994
Plant corpus (non-saline),Water (saline),66,1000,12.20540751671282,0.000999000999000999,0.0016115959512185928
Plant surface (non-saline),Plant surface (saline),38,1000,7.416877779988547,0.001998001998001998,0.0029201567663106123
Plant surface (non-saline),Sediment (non-saline),60,1000,11.878926874930306,0.000999000999000999,0.0016115959512185928
Plant surface (non-saline),Sediment (saline),79,1000,8.313153948084167,0.000999000999000999,0.0016115959512185928
Plant surface (non-saline),Soil (non-saline),177,1000,58.52903936630014,0.000999000999000999,0.0016115959512185928
Plant surface (non-saline),Soil (saline),37,1000,28.964889292899315,0.000999000999000999,0.0016115959512185928
Plant surface (non-saline),Subsurface (non-saline),21,1000,3.5995181817424293,0.008991008991008992,0.012202083630655062
Plant surface (non-saline),Surface (saline),19,1000,0.902215635073412,0.3696303696303696,0.3740046935313207
Plant surface (non-saline),Water (non-saline),24,1000,1.665594016503373,0.12987012987012986,0.1370851370851371
Plant surface (non-saline),Water (saline),53,1000,12.808586921190544,0.000999000999000999,0.0016115959512185928
Plant surface (saline),Sediment (non-saline),68,1000,68.18382347413097,0.000999000999000999,0.0016115959512185928
Plant surface (saline),Sediment (saline),87,1000,34.64543906862612,0.000999000999000999,0.0016115959512185928
Plant surface (saline),Soil (non-saline),185,1000,232.31021637444027,0.000999000999000999,0.0016115959512185928
Plant surface (saline),Soil (saline),45,1000,114.73530001366976,0.000999000999000999,0.0016115959512185928
Plant surface (saline),Subsurface (non-saline),29,1000,7.876963511875821,0.000999000999000999,0.0016115959512185928
Plant surface (saline),Surface (saline),27,1000,2.358032865499315,0.07892107892107893,0.08820591173532351
Plant surface (saline),Water (non-saline),32,1000,7.146125711566055,0.000999000999000999,0.0016115959512185928
Plant surface (saline),Water (saline),61,1000,15.424010502752104,0.000999000999000999,0.0016115959512185928
Sediment (non-saline),Sediment (saline),109,1000,6.117359207121045,0.000999000999000999,0.0016115959512185928
Sediment (non-saline),Soil (non-saline),207,1000,41.65554945657018,0.000999000999000999,0.0016115959512185928
Sediment (non-saline),Soil (saline),67,1000,52.21628596068721,0.000999000999000999,0.0016115959512185928
Sediment (non-saline),Subsurface (non-saline),51,1000,25.629793454088848,0.000999000999000999,0.0016115959512185928
Sediment (non-saline),Surface (saline),49,1000,8.218883115982399,0.001998001998001998,0.0029201567663106123
Sediment (non-saline),Water (non-saline),54,1000,11.462142105193044,0.000999000999000999,0.0016115959512185928
Sediment (non-saline),Water (saline),83,1000,90.79662599751939,0.000999000999000999,0.0016115959512185928
Sediment (saline),Soil (non-saline),226,1000,54.52171425252792,0.000999000999000999,0.0016115959512185928
Sediment (saline),Soil (saline),86,1000,37.11510314045701,0.000999000999000999,0.0016115959512185928
Sediment (saline),Subsurface (non-saline),70,1000,15.030394874377276,0.000999000999000999,0.0016115959512185928
Sediment (saline),Surface (saline),68,1000,4.182335649255102,0.011988011988011988,0.015073162131985663
Sediment (saline),Water (non-saline),73,1000,8.054635396794708,0.000999000999000999,0.0016115959512185928
Sediment (saline),Water (saline),102,1000,64.49905119930008,0.000999000999000999,0.0016115959512185928
Soil (non-saline),Soil (saline),184,1000,88.24502552687244,0.000999000999000999,0.0016115959512185928
Soil (non-saline),Subsurface (non-saline),168,1000,78.6149910808145,0.000999000999000999,0.0016115959512185928
Soil (non-saline),Surface (saline),166,1000,29.9138307757676,0.000999000999000999,0.0016115959512185928
Soil (non-saline),Water (non-saline),171,1000,52.034321774960524,0.000999000999000999,0.0016115959512185928
Soil (non-saline),Water (saline),200,1000,347.1462555240061,0.000999000999000999,0.0016115959512185928
Soil (saline),Subsurface (non-saline),28,1000,31.075416900205262,0.000999000999000999,0.0016115959512185928
Soil (saline),Surface (saline),26,1000,14.064507273692007,0.000999000999000999,0.0016115959512185928
Soil (saline),Water (non-saline),31,1000,17.9676769415321,0.000999000999000999,0.0016115959512185928
Soil (saline),Water (saline),60,1000,106.43432799366919,0.000999000999000999,0.0016115959512185928
Subsurface (non-saline),Surface (saline),10,1000,1.2197768136644052,0.28471528471528473,0.29329104630309455
Subsurface (non-saline),Water (non-saline),15,1000,1.789606802697983,0.08091908091908091,0.08927201830427636
Subsurface (non-saline),Water (saline),44,1000,8.321741833411306,0.000999000999000999,0.0016115959512185928
Surface (saline),Water (non-saline),13,1000,0.7547837074449882,0.5544455544455544,0.5577069988834695
Surface (saline),Water (saline),42,1000,3.655214899126462,0.006993006993006993,0.009721985331741428
Water (non-saline),Water (saline),47,1000,9.175564141559082,0.000999000999000999,0.0016115959512185928
