cladeID	nkmers	card	gsize	csize
N8666	165567	2	170292	463
N8667	506382	4	170292	461
N8325	671080	6	170327	463
N8947	370186	2	170327	467
N8948	348067	2	170327	465
N8665	716589	4	170335	467
N8324	880982	5	170349	468
N7941	300122	2	170757	470
N7942	1549449	11	170757	468
N7542	1848372	13	171043	470
N7148	6534161	51	174070	470
N9423	164839	2	174070	472
N9424	171751	2	174070	474
N9207	255510	4	174078	474
N8946	284617	5	174092	475
N8664	316811	6	174122	476
N8323	347885	7	174184	477
N8663	168375	2	174184	479
N8322	221211	3	174186	480
N7940	551173	10	174972	480
N8320	304017	2	174972	484
N8321	351771	2	174972	482
N7939	654387	4	174980	484
N7541	1204908	14	175270	484
N7147	1377348	15	175376	485
N6722	7906873	66	177760	485
N6294	28216372	315	184284	485
N8945	351629	2	184284	487
N8661	340915	2	184286	490
N8662	529531	3	184286	488
N8319	853620	5	184306	490
N7937	313262	2	184336	493
N7938	1003869	6	184336	491
N7540	1309191	8	184489	493
N7145	269856	2	184537	496
N7146	1419755	9	184537	494
N6721	1688857	11	184700	496
N8660	102377	2	184700	498
N8317	268087	2	184702	501
N8318	207162	3	184702	499
N7936	474729	5	184719	501
N7538	273325	2	184742	504
N7539	596444	6	184742	502
N7144	869560	8	184788	504
N7537	298046	2	184788	506
N7143	477005	3	184790	507
N6720	1346335	11	184880	507
N6293	3034875	22	185058	507
N5851	31240407	337	190812	507
N9206	255251	2	190812	509
N8944	433012	3	190814	510
N8658	321066	2	190820	513
N8659	593029	4	190820	511
N8315	314068	2	190864	515
N8316	911574	6	190864	513
N7935	1223811	8	191007	515
N8314	299058	2	191007	517
N7934	457182	3	191009	518
N7536	1678642	11	191433	518
N8657	295753	2	191433	520
N8312	293346	2	191435	523
N8313	393487	3	191435	521
N7933	682691	5	191455	523
N8310	275786	2	191455	527
N8311	247789	2	191455	525
N7932	523103	4	191463	527
N7535	1204392	9	191665	527
N7142	2880299	20	192708	527
N6719	3001230	21	192982	528
N7141	315310	2	192982	530
N6718	465522	3	192984	531
N6292	3465111	24	193609	531
N6716	333409	2	193609	535
N6717	313544	2	193609	533
N6291	646542	4	193617	535
N5850	4111102	28	193864	535
N5003	35498050	366	200224	536
N6715	137693	2	200224	538
N6289	96739	2	200226	541
N6290	195933	3	200226	539
