T1271	0.0315355
T6	0.124422
T2	0.312821
T0	0.58295
N0	0.726032
T1	0.62549
N1	0.811113
T5	0.246309
T3	0.540994
N3	0.775142
T4	0.533057
N4	0.759269
T1270	0.0928693
T550	0.141097
T18	0.211448
T10	0.34071
T7	0.653415
N7	0.888782
T8	0.674627
N8	0.931206
T9	0.663773
N9	0.909498
T17	0.293063
T11	0.5939
N11	0.865046
T16	0.462847
T12	0.702269
N12	0.799598
T15	0.649921
T13	0.753949
N13	0.810996
T14	0.756476
N14	0.816049
T549	0.175083
T108	0.215644
T21	0.359817
T19	0.604773
N19	0.72856
T20	0.600417
N20	0.719849
T107	0.264788
T34	0.526709
T22	0.816961
N22	0.869432
T33	0.77961
T26	0.838508
T23	0.881286
N23	0.880287
T24	0.883968
N24	0.885652
T25	0.883969
N25	0.885653
T32	0.807943
T27	0.863053
N27	0.904951
T31	0.844996
T28	0.875005
N28	0.879172
T29	0.870483
N29	0.870129
T30	0.870483
N30	0.87013
T106	0.46702
T58	0.667261
T37	0.70246
T35	0.778305
N35	0.841099
T36	0.775734
N36	0.835958
T42	0.721367
T38	0.778582
N38	0.80384
T41	0.76797
T39	0.793754
N39	0.802891
T40	0.790743
N40	0.79687
T57	0.726951
T49	0.781139
T43	0.843998
N43	0.88821
T48	0.834206
T44	0.879914
N44	0.8892
T47	0.880071
T45	0.919806
N45	0.948097
T46	0.91124
N46	0.930965
T56	0.785969
T52	0.825317
T50	0.880026
N50	0.916862
T51	0.863564
N51	0.883938
T55	0.822577
T53	0.867609
N53	0.897511
T54	0.864302
N54	0.890896
T105	0.65831
T73	0.713751
T59	0.800213
N59	0.844432
T72	0.778475
T62	0.84656
T60	0.893773
N60	0.895382
T61	0.896033
N61	0.899901
T66	0.82874
T63	0.893502
N63	0.930481
T64	0.915478
N64	0.974432
T65	0.922517
N65	0.98851
T71	0.830801
T67	0.886432
N67	0.912219
T70	0.872491
T68	0.912691
N68	0.939045
T69	0.901336
N69	0.916334
T104	0.685481
T74	0.760884
N74	0.822316
T103	0.714878
T87	0.743436
T77	0.793254
T75	0.860131
N75	0.888321
T76	0.861908
N76	0.891876
T86	0.759691
T80	0.813599
T78	0.86579
N78	0.867195
T79	0.866221
N79	0.868058
T85	0.780103
T81	0.829158
N81	0.860923
T84	0.823422
T82	0.874676
N82	0.897902
T83	0.880438
N83	0.909426
T102	0.74849
T88	0.823334
N88	0.879992
T101	0.777221
T91	0.807891
T89	0.865026
N89	0.902035
T90	0.860964
N90	0.893911
T100	0.80258
T94	0.827642
T92	0.885106
N92	0.930324
T93	0.883379
N93	0.92687
T99	0.827291
T95	0.884035
N95	0.928884
T98	0.857677
T96	0.913755
N96	0.949344
T97	0.898462
N97	0.918759
T548	0.214276
T242	0.255365
T151	0.28472
T115	0.440699
T109	0.728328
N109	0.869879
T114	0.625879
T110	0.807359
N110	0.947737
T113	0.725553
T111	0.849781
N111	0.913435
T112	0.818655
N112	0.851184
T150	0.303579
T116	0.568532
N116	0.824528
T129	0.343164
T119	0.575662
T117	0.786363
N117	0.795192
T118	0.786352
N118	0.79517
T128	0.42166
T122	0.602704
T120	0.788308
N120	0.838738
T121	0.776023
N121	0.814168
T127	0.49037
T123	0.708038
N123	0.902865
T126	0.538521
T124	0.692784
N124	0.819737
T125	0.702645
N125	0.839458
T132	0.426873
T130	0.706542
N130	0.869875
T131	0.777679
N131	1.01215
T149	0.399472
T133	0.65563
N133	0.822852
T148	0.589721
T134	0.799936
N134	0.906839
T147	0.714355
T139	0.787986
T135	0.882174
N135	0.924051
T138	0.867313
T136	0.909679
N136	0.923029
T137	0.903015
N137	0.909701
T146	0.773889
T140	0.872407
N140	0.932712
T145	0.878544
T141	0.992241
N141	1.0375
T144	0.950668
T142	1.00341
N142	1.05047
T143	0.962242
N143	0.968133
T241	0.367382
T152	0.648944
N152	0.835945
T240	0.541275
T165	0.666583
T155	0.814254
T153	0.966433
N153	1.01492
T154	0.966678
N154	1.01541
T164	0.759133
T158	0.844582
T156	0.90097
N156	0.918484
T157	0.893425
N157	0.903394
T163	0.831261
T159	0.890503
N159	0.924192
T162	0.897595
T160	0.96235
N160	0.984325
T161	0.964813
N161	0.989251
T239	0.691082
T172	0.81122
T166	0.906638
N166	0.950394
T171	0.887045
T167	0.930333
N167	0.947458
T170	0.916906
T168	0.93204
N168	0.941475
T169	0.93408
N169	0.945556
T238	0.793841
T177	0.860254
T173	0.934936
N173	0.975488
T176	0.904309
T174	0.953756
N174	0.991278
T175	0.96272
N175	1.00921
T237	0.840243
T192	0.887788
T182	0.973173
T178	1.05577
N178	1.08641
T181	1.03756
T179	1.0714
N179	1.09081
T180	1.06347
N180	1.07495
T191	0.984307
T185	1.05214
T183	1.09283
N183	1.12679
T184	1.07136
N184	1.08384
T190	1.06393
T186	1.09448
N186	1.1065
T187	1.09087
N187	1.09926
T188	1.08853
N188	1.0946
T189	1.09759
N189	1.11272
T236	0.86252
T193	0.928805
N193	0.984935
T235	0.886132
T194	1.00871
N194	1.11584
T234	0.934527
T199	0.987266
T195	1.02716
N195	1.04726
T198	1.02458
