Sample ID	empo_0	empo_1	empo_2	empo_3	empo_4	empo_x
13114.pinto.63.s021	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s022	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s023	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s024	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s025	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s026	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s027	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.pinto.63.s028	EMP sample	Host-associated	Host-associated (n-s)	Plant (n-s)	Plant corpus (non-saline)	Plant corpus
13114.rohwer.84.s005	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.rohwer.84.s006	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.rohwer.84.s007	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.rohwer.84.s008	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.rohwer.85.s001	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s002	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s003	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s004	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s005	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s006	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s007	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s008	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s009	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s010	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s011	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s012	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s013	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s014	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s015	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s016	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
