Sample ID	empo_0	empo_1	empo_2	empo_3	empo_4	empo_x
13114.song.53.s010	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.53.s011	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.53.s012	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.53.s013	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.53.s014	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.53.s015	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.75.s001	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.75.s002	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.75.s003	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.song.75.s004	EMP sample	Host-associated	Host-associated (n-s)	Animal (n-s)	Animal distal gut (non-saline)	Animal distal gut
13114.stegen.36.s001	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s002	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s003	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s004	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s005	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s006	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s007	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s008	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s009	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s010	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s011	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s012	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s013	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s014	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.36.s015	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Soil (non-saline)	Soil
13114.stegen.37.s001	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.stegen.37.s002	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.stegen.37.s003	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.stegen.37.s004	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
13114.stegen.37.s005	EMP sample	Free-living	Free-living (n-s)	Solid (n-s)	Sediment (non-saline)	Sediment
