	rid	error
0	G000196455_1_read3120983	1.4098607790000002
1	G000404925_1_read3524129	0.9024989513
2	G000995995_1_read9292325	1.1926280609000002
3	G001792215_1_read8810459	1.4527498243
4	G000503835_1_read1175871	0.01385691869143217
5	G000503835_1_read7292841	0.013758760590697779
6	G000372165_1_read2994656	0.8381681124999999
7	G001780955_1_read3391351	0.18981340371750144
8	G001788225_1_read6013979	0.7732615612
9	G001774295_1_read1091083	0.006416090723779337
10	G001774295_1_read9484751	0.000543619788542309
11	G001774275_1_read3783070	2.7746614285714284e-05
12	G001774295_1_read7119939	0.0007041638571428571
13	G001774295_1_read3918852	0.0006317521142857143
14	G001774295_1_read3866162	0.0030918784571428567
15	G001872335_1_read2821190	0.6546819643
16	G001872335_1_read9935610	0.3255511272
17	G001872335_1_read3656170	0.4155315976
18	G001773775_1_read3737019	0.056759717858975524
19	G001773775_1_read980519	0.01897232824944317
20	G001792215_1_read235046	0.5646531749
21	G001792215_1_read9450986	0.182979923225
22	G000196455_1_read3041227	1.4098607790000002
23	G000992445_1_read1091760	0.04148789092670211
24	G001789085_1_read252627	6.975714285714286e-07
25	G001789085_1_read666435	1.3547e-06
26	G001789085_1_read6608858	0.0020688097428571426
27	G001899385_1_read3169195	0.1781728554674846
28	G000014865_2_read1016768	0.8033556156999999
29	G000014865_2_read4779278	0.7816871363
30	G000992445_1_read7842327	0.011426684833222716
31	G001872305_1_read1126217	1.1212677185
32	G001818735_1_read2580634	0.00235119895
33	G001818735_1_read9378700	0.0023735890002657568
34	G000992445_1_read5626424	1.0250189975000001
35	G001784435_1_read4740232	0.22839899139310318
36	G001872305_1_read7479797	0.3007046178578036
37	G001872305_1_read7603251	0.7818731084999999
38	G001784235_1_read4902839	0.0012304162137184971
39	G001784235_1_read1731781	0.0017750283250000001
40	G001784435_1_read9590124	0.6771634924000001
41	G001818625_1_read6753049	0.4056055005797844
42	G001822865_1_read9562101	0.1569720228
43	G001004055_1_read6885489	0.00037915191090531986
44	G001794605_1_read5179063	0.0177208667
45	G001818535_1_read2830804	0.034039029299999995
46	G001824255_1_read5471113	0.11603893450762508
47	G001824255_1_read5464129	0.11603893450762508
48	G001819135_1_read8537049	0.3369837689
49	G001819135_1_read1583130	0.0033046129006409843
50	G001824255_1_read1313136	0.7378958610999999
51	G001567365_1_read3910039	0.07721388823698608
52	G001567365_1_read5248657	0.07721388823698608
53	G001567365_1_read1991822	0.3023470333
54	G001824255_1_read8689087	0.11603893450762508
55	G001824255_1_read8930734	0.010172205865097584
56	G000014865_3_read3335532	0.47757634029999996
57	G000372165_1_read3047807	0.6737848256925039
58	G000020945_1_read7923642	-0.08192719590000003
59	G000372165_1_read5847714	2.045356776
60	G001027025_1_read7390343	0.36493550669999997
61	G000017545_1_read814875	0.30308820830000005
62	G001027025_1_read8398594	0.2989161118
63	G000828675_1_read7621862	0.010195385709808994
64	G000023325_2_read5859562	0.5007692547
65	G000023325_1_read6444931	0.41437621859999996
66	G000017545_2_read5851095	0.007963946304029355
67	G000828675_1_read8084296	0.3064963213
68	G000017865_1_read6010055	0.0037594178940830287
69	G000017865_1_read9910153	0.3361875592
70	G000017865_1_read461748	0.004868771468753455
71	G000828675_1_read374662	0.41855780400000003
72	G000017865_1_read2698462	0.2682738981463452
73	G000828675_1_read7665960	0.3064963213
74	G001027025_1_read4776869	0.5880160509
75	G000237805_1_read1604549	0.3171564335
76	G000016165_7_read5088163	0.5733960391999999
77	G000025885_1_read4599071	0.4411367278
78	G000025885_3_read4378114	0.5117401003000001
79	G000025885_2_read5256790	0.014212997489536017
80	G001486165_2_read7072651	1.2933829792
81	G000752215_1_read4846936	1.0267204337
82	G001771535_1_read2728900	0.0403900128
83	G000371925_2_read4923047	1.1375436878999998
84	G001486165_3_read9974502	0.6884717133
85	G001899385_1_read1467225	0.9724562481
86	G001544015_2_read5508623	0.7391157351
87	G000174415_1_read1456682	0.03927797815681489
88	G000179255_1_read1967160	0.25978632420000003
89	G000332275_2_read935069	0.09491914394942809
90	G000014585_1_read1720369	0.11951710119999999
91	G000014585_2_read5593707	0.006777308886508533
92	G000635595_1_read1634118	0.008597602528571429
93	G000014585_1_read8422389	0.286604692
94	G000635595_1_read8471840	0.020278230985714282
95	G000179255_1_read2285112	0.045970522421062664
96	G000014585_1_read4431383	0.004710001972053289
97	G001870905_1_read6021394	0.2690281418
98	G000014585_1_read3566989	0.286604692
99	G000635595_1_read4833445	0.014610382742857137
100	G000635595_1_read4798197	0.014610382742857137
101	G000332175_2_read3583372	0.1944128957
102	G000775285_1_read6352788	0.28781583369999997
103	G000332175_2_read3852334	0.1194657969
104	G000775285_1_read7712214	0.15381918179999998
105	G000775285_1_read4829742	0.02859351859949192
106	G001870905_1_read3919205	0.39815785039999996
107	G000332275_2_read8957342	0.24442932598064387
108	G000332275_2_read1871756	0.33577183499999996
109	G000332275_2_read4027924	0.4302690388
110	G000613065_1_read5428431	0.05948102067619414
111	G000016165_2_read5221086	1.0048326894000001
112	G000332175_1_read4966689	0.012345730745438923
113	G000016165_8_read183610	1.1368808392
114	G000744935_7_read3200108	0.6395274574
115	G000613065_1_read5879843	0.003452774666155881
116	G000447295_1_read3511699	0.062427367899999996
117	G000613065_1_read4059452	0.05948102067619414
118	G000332175_1_read7500961	0.09806572184835359
119	G000447295_2_read4503124	0.0008064449370842348
120	G000447295_1_read6739402	0.007146743082427123
121	G000447295_1_read6516229	0.021288665535500222
122	G000447295_1_read976673	0.005008118844531942
123	G000447295_2_read5556309	0.021288665535500222
124	G001899385_1_read4062829	1.3832058886
125	G001777945_1_read8239461	1.1210354702
126	G001023575_1_read9320898	0.2611683167555993
127	G000016165_2_read3502238	0.012624365362513455
128	G000024985_2_read4648237	0.22226894730000002
129	G001544015_1_read8252651	0.008691088649061604
130	G000024985_2_read9337968	0.5682554831
131	G000152145_1_read1239398	0.334543928
132	G000372165_1_read2575113	0.15451490765714287
133	G000516515_3_read4385120	0.0003589080999999994
134	G000152145_1_read3646846	0.013452012368625331
135	G000516515_1_read5692888	0.007790374400000001
